attributes.WiFi,attributes.GoodForKids,attributes.RestaurantsPriceRange2,attributes.RestaurantsTakeOut,stars,attributes.RestaurantsDelivery,categories,business_id,postal_code
no,True,2,True,3.0,True,"Food, Pizza, Restaurants, Specialty Food",Sjy1xaNHoFnejyoPo-MhUA,V6Y 3Y8
free,True,2,True,3.5,True,"Restaurants, Pizza, Italian, Food",KEp4ZwX9brLj20jLTo55Qg,V5B 1R2
no,True,2,True,3.5,False,"Restaurants, Seafood, Chinese",9yZpfG9uP0DjDHSUQokfvw,V6X 3V9
no,True,1,True,4.0,False,"Restaurants, Food Stands, Dim Sum, Dumplings, Chinese, Food Court",VGq9wu_ZtvonP1Rke4CxYw,V6X 2X9
free,True,2,True,3.0,True,"Food, Japanese, Juice Bars & Smoothies, Restaurants, Sushi Bars, Coffee & Tea",rYDsM6XCqr1E2IYBfGxbxQ,V5E 3R7
free,True,2,True,3.5,False,"Sushi Bars, Japanese, Asian Fusion, Restaurants",hlnLIrUMGgLMFxphB3HCWw,V5X 3T3
no,True,2,True,3.5,True,"Restaurants, Chinese",RbrRBxk7IK6ycJTtEjIe6g,V3L 3C6
no,True,2,True,3.5,False,"Chinese, Dim Sum, Seafood, Restaurants",SR8nISkNDVfAwvE3VEogwA,V5P 3V7
no,True,2,True,4.0,True,"Bars, Moroccan, Wine Bars, Breakfast & Brunch, Nightlife, Restaurants, Middle Eastern",VPqWLp9kMiZEbctCebIZUA,V6B 3A4
free,True,2,True,4.0,True,"Restaurants, Thai",3dyhY-hBnC8ijKHgSpWdWA,V6E 1C1
free,True,2,True,3.5,False,"Restaurants, Chinese",s8GuNWKlwunSdDnz84iyPw,V6X 3Z9
free,True,1,True,4.5,True,"Restaurants, Indian",zV1y1_xdjmARGfnaOxLqVQ,V4C 6R8
free,True,2,True,3.5,True,"Comfort Food, American (New), Restaurants, Cocktail Bars, Bars, Nightlife, Canadian (New)",DBaxxVNg13ng0_MfosTMJw,V6Z 3G4
no,False,2,True,3.5,False,"Southern, Cajun/Creole, Restaurants, Seafood",M4jkJHewQXZvDV34Tuon8g,V6K 1E9
no,True,2,True,4.0,False,"Sushi Bars, Restaurants, Japanese",jrVEB7FPeD7zeLdYfmnwVg,V6S 2C3
no,True,1,True,3.5,False,"Sandwiches, Soup, Restaurants, Breakfast & Brunch",9JX6NG528b90t8MPoSQuwQ,V3B 1A5
free,False,2,True,3.0,False,"Restaurants, Nightlife, Gastropubs, Bars, Pubs",ViBoypPpX94Igjm2s5XNsg,V6B 2K8
free,True,2,True,3.0,True,"Breakfast & Brunch, Canadian (New), Restaurants, Burgers",c0bstAQPXTmv22PDmkv2Eg,V5H 2G2
free,True,2,True,4.0,False,"Food, Sushi Bars, Poke, Japanese, Restaurants, Hawaiian",szPJyzsly0a5ZkehLAV1fA,V6B 1Y1
free,True,2,True,3.0,True,"Chinese, Food, Restaurants",iyqCE9U3UNDOra_5iwjUIQ,V5R 2G7
no,False,2,True,4.0,True,"Restaurants, Nightlife, Pubs, Bars, Irish",O9KCg8IfPtbNSlk7M0OdSQ,V6Z 1L4
no,True,2,True,3.5,True,"Thai, Restaurants",FEFF1TpkB-D4QSnnLzRAMQ,V3T 1N6
free,False,2,True,4.0,False,"Food, Sandwiches, Vegan, Coffee & Tea, Restaurants",zm699HmLWnw8PgT1JDw5Ag,V6K 2E5
no,True,2,True,3.5,False,"Dim Sum, Restaurants, Seafood, Chinese",IIQEpQFQgsc_NTDEUOzcoA,V6M 1Y8
free,True,2,True,4.0,True,"Restaurants, Greek, Canadian (New), American (Traditional), Nightlife, Mediterranean, Bars, Lounges",3J_E0XfGLFAHKnQqIO9rXA,V3K 3S3
free,True,2,True,4.0,True,"Afghan, Restaurants, Kebab, Middle Eastern, Mediterranean",1tJ25j22FXmkuQQW0F_Qfg,V6H 4E5
no,True,1,True,4.5,False,"Food, Specialty Food, Restaurants, Soup",BN74Q1bTS-81g0brtHlakQ,V7M 3K7
no,True,1,True,2.5,True,"Indian, Restaurants, Pakistani",kimpqLP-TwiDpl3FQPHcIA,V5E 1P8
no,True,2,True,4.0,True,"Restaurants, Portuguese, South African, African",XFQ9bpvZ3S2RZVYw--Slyg,V3W 1P8
no,True,2,False,2.0,False,"Hot Pot, Restaurants",s_wer9tZdJSvH8mSH5Gwcg,V6X 1A7
free,True,2,True,3.5,True,"Restaurants, Indian",ZgfKS7two089Tdv6tmi43w,V6Y 3R9
free,False,2,False,4.0,False,"Sports Bars, Pizza, Active Life, Canadian (New), Nightlife, Restaurants, Bars, Golf",tTfGAYRi9SFaAuLw8HYX6w,V6C 1V4
free,True,1,True,4.5,False,"Restaurants, Cafes, Vegetarian",eO-Zl3wPFxfZtPQji-7eiw,V6T 1Z1
no,True,2,True,3.0,False,"Food Stands, Restaurants",mKdrzse-LFXmdbmNUhee4Q,V6Z 2H7
no,True,1,True,2.0,True,"Ice Cream & Frozen Yogurt, Food, Fast Food, Restaurants",AXOtY2PFur_meYOwMJr-qQ,V5H 4J2
free,True,2,True,3.0,True,"Restaurants, Malaysian, Singaporean",7VjbCZqbxIMUHd_2hA9QOw,V6Y 3X9
no,True,2,True,2.0,True,"Pizza, Restaurants",0zWQiyha9XcrICs24pK7XQ,V7V 1J6
free,False,2,True,3.5,False,"Bars, Tapas Bars, Nightlife, Restaurants",2Wlfty9MKueKN99mBqgT_Q,V5T 3G4
free,True,3,False,3.5,False,"Buffets, Canadian (New), Restaurants",Q7DVB7X0194ohRLOlnz2_g,V6C 3B5
no,True,2,True,3.5,True,"Chinese, Coffee & Tea, Bubble Tea, Food, Restaurants, Taiwanese",RPnSUIZMRS5T8KsSI1dwMA,V5H 1Z8
free,True,2,True,3.0,False,"Burgers, Breakfast & Brunch, Canadian (New), Restaurants, American (Traditional)",85UAzxAcYq9M8ZBiLmcZwA,V6P 6L6
no,True,3,True,2.5,False,"Restaurants, Seafood",Y8NNXzzvs4Ymu_NO0etyFw,V3H 0C8
free,True,2,True,3.5,False,"Restaurants, Burgers, Food, Fast Food",X1FtX-e5J88mCXz7nDw1ZA,V6C 2T6
no,True,1,True,3.5,False,"Restaurants, Middle Eastern",CMpeBW5pafQFlW1zPRD28Q,V6T
no,True,2,True,3.5,True,"Flea Markets, Shopping, Specialty Food, French, Food, Grocery, Restaurants",h0tM4_qQFiD6-_B7fmS27A,V6H 3R9
free,True,1,True,4.0,False,"Restaurants, Vietnamese",rFvjDoxbOblnPN2vL_bvzA,V5P 3V9
free,False,2,True,3.0,False,"Bars, Restaurants, Nightlife, Canadian (New)",4I8aLMG3VcmRS4etjGQBzw,V6C 2G2
no,True,1,True,2.5,False,"Vietnamese, Restaurants",ZIVzL7wFwvKM1hrTrWZknw,V6B 6N7
free,True,1,True,4.0,False,"Restaurants, Canadian (New), Nightlife, Bars, American (New)",B1bE80mdyebL15IVtHrJRA,V5C 2K6
free,True,2,True,3.5,True,"Hot Pot, Restaurants, Salad, Japanese",R-KPTWap9rmIFLa0g1Um1w,V6M 4B8
no,True,2,True,3.5,True,"Ramen, Japanese, Restaurants, Noodles",uYDRM-oD6qyU4jrnWTgNnA,V5T 0C1
no,True,2,True,4.0,True,"Restaurants, Barbeque, Korean",2WRCcQATOe_Em0k61T6kvQ,V5N 5E4
no,False,2,True,4.0,True,"Thai, Restaurants",ztP4E-dCMEOZRT9XYLDNzw,V6J 1M5
no,True,1,True,3.5,True,"Sushi Bars, Noodles, Japanese, Restaurants",kwwdNco1QQDf9Sk4ph6b0A,V5B 1S3
free,False,2,True,3.5,False,"Bars, Nightlife, Canadian (New), Restaurants, Seafood",y53Y_93Tz90HpefKQVcq1w,V6B
free,True,2,True,4.0,True,"Restaurants, Japanese, Sushi Bars",EXImmr3ZRnPExKmzgy-maQ,V5V 4E4
free,False,2,True,3.5,True,"Korean, Bars, Nightlife, Tapas Bars, Restaurants",B2OCwi8B_q5J0Pyz9GbXAw,V6G 1C7
free,True,1,True,3.5,False,"Tea Rooms, Bubble Tea, Taiwanese, Food, Ice Cream & Frozen Yogurt, Restaurants, Chinese",eU79Z73ns_NrSpQleTIcNw,V5R 5K6
free,True,1,True,2.5,True,"Restaurants, Vietnamese",FtelGZRPCdcXWKo_OVZMjg,V3K 3V9
free,True,2,True,3.5,True,"Japanese, Asian Fusion, Barbeque, Restaurants, Ramen, Tapas/Small Plates",xfK9_bAM8JXiYMAV_yXKFQ,V6K 2G9
no,True,2,True,3.5,True,"Sushi Bars, Japanese, Restaurants",SXhG-as7pJv5tbHeOYwxOA,V5L
free,True,2,True,3.5,True,"Burgers, Nightlife, Bars, Pubs, American (New), Canadian (New), Lounges, Restaurants, Breakfast & Brunch",onSotJ4tCb3HlfbvaqiiTA,V6R
free,True,1,True,1.5,True,"Burgers, Food, Coffee & Tea, Fast Food, Restaurants",5oK7ydxjDS1j3qaHp977Jg,V3V 6A8
no,True,1,True,1.5,False,"American (Traditional), Mexican, Chicken Shop, Fast Food, Chicken Wings, Restaurants",VUaW2S6jLJnnuQHpX1D8Eg,V3B 6J6
no,True,2,True,4.0,True,"Ice Cream & Frozen Yogurt, Specialty Food, Food, Sandwiches, Chocolatiers & Shops, Coffee & Tea, Restaurants",C3GtapBXvKBCgzAZ9yv49A,V6E 1B5
free,False,2,True,3.5,False,"Desserts, Sushi Bars, Japanese, Seafood, Restaurants, Food",5lVXZfJMFX-PJIdzk9gAlw,V6Z 2K7
no,False,1,True,3.5,True,"Sushi Bars, Restaurants, Japanese",6T0ceMqSLXHyLtsJLlEGbg,V6B 2G5
no,False,2,True,3.0,True,"Canadian (New), Bars, Pubs, Breweries, American (New), Food, Restaurants, Nightlife",ebwx3CSWa9AbasmW03EQTQ,V3T 5X3
free,True,1,True,3.0,True,"Restaurants, Taiwanese, Noodles",bRinG2WByN3kwHaLf1B84A,V6P 4Z7
no,True,2,True,3.5,False,"Japanese, Sushi Bars, Restaurants",W-wR2RWSejKvy-3Bh3p9Fw,V6R 3C4
free,True,1,True,4.5,False,"Sandwiches, Food, Breakfast & Brunch, Delis, Restaurants",iHr346j7FGUY4JQoeEKXMA,V6K 2G9
free,True,1,True,3.0,False,"Vietnamese, Restaurants",xieW0hEoCWIFzavfJbWK4w,V5T 1X9
free,True,2,True,4.0,False,"Food, Coffee & Tea, Bistros, Restaurants",UkSNdIF54dvas25eh_CmFw,V5Z 3C2
no,True,1,True,4.0,True,"Fast Food, Bakeries, Sandwiches, Salad, Restaurants, Soup, Chicken Wings, Food, Canadian (New)",5T0vKfIJWP1xTnxA7fJ17w,V6B 1H7
free,True,1,True,4.5,False,"Cafes, Coffee & Tea, Restaurants, Food",iHvgkEKNj_BNrwEPKZB5Hw,V5H 4N2
no,False,2,True,3.0,True,"Chinese, Imported Food, Specialty Food, Restaurants, Ethnic Food, Food",elfod3uO6WvTEtNAS9zF-g,V5E 1E5
free,True,2,True,3.0,True,"Restaurants, Seafood, Chinese, Dim Sum",SmoRDhTkwQZFBHM6pG7eSw,V3W 3N3
no,True,1,True,4.0,False,"Food Court, Restaurants, Chinese",LNPV-J6iv-CjSp31mx_fuw,V5H 2A9
no,True,2,True,4.5,True,"Japanese, Sushi Bars, Restaurants",F5qWJO27UIzMmSObtD9Zeg,V6G 2L6
free,True,2,True,3.0,False,"Food, Delis, Sandwiches, Restaurants, Grocery",n9h3nbXEIkfYHoFgoToXEw,V5C 2K2
free,True,2,True,4.5,False,"Filipino, Restaurants",lOmgDBHcDAUbNatYya5q0Q,V5V 4G2
free,True,1,True,3.5,True,"Vietnamese, Food, Restaurants, Specialty Food",WrroLBmTTS9rjsh8DEWBdg,V3M 4W8
no,True,2,True,4.0,True,"Pizza, Indian, Restaurants",ApevdPfKvAxTKFIq7LKFtg,V6S 2C1
free,True,1,True,4.0,True,"Food, Indian, Restaurants, Desserts",pFjo7KvZM-_Lf8WJz-_lcg,V3W 1R1
free,True,2,True,3.5,False,"Noodles, Japanese, Ramen, Restaurants",rOHGRHbyDcwLEbDn0lIejg,V6B 2L2
no,True,2,True,4.0,True,"Restaurants, Sandwiches, Breakfast & Brunch, Caterers, Event Planning & Services",wwqKcf4bX2P6Xm8e7l8nFg,V3M 1A9
no,True,2,True,3.0,True,"Restaurants, Sushi Bars, Japanese",cYLj6DwGa0eAeO7Q7kIYOA,V6K 3E4
free,False,2,False,3.5,False,"Lounges, Arts & Entertainment, Cabaret, Nightlife, Restaurants, Bars, American (Traditional), Event Planning & Services, Venues & Event Spaces",zyrXzq8IQxVEK5341L0qZQ,V6A 2Z4
no,True,1,True,4.0,True,"Restaurants, Vietnamese, Noodles",JHdsuTOvlD1Oc5hf_2spjA,V5W 3A4
free,True,2,True,4.0,False,"Breakfast & Brunch, Canadian (New), Cafes, Comfort Food, French, Restaurants",BqOSfSmwWDZzjYzIrBhyNw,V6B 1G8
free,True,2,True,4.5,False,"Hot Pot, Restaurants, Barbeque, Chinese",KWXF9moZFLMv_70mXfbv-w,V6X 4B3
no,True,1,True,3.5,False,"Restaurants, Bakeries, Indian, Food, Vegetarian",WqcF3JwEgt69BO4s0mljHA,V5X 3J4
free,True,1,True,3.0,False,"Food, Cafes, Coffee & Tea, Restaurants, Donuts",e1BgVPS0lJEmEsLnNAzBFQ,V6X 1S3
free,True,2,True,3.5,True,"Barbeque, African, Restaurants, Portuguese, Event Planning & Services, Caterers, South African",9Gj9sXxf00eCblQxch5MLw,V7H 0B5
no,False,4,False,4.5,False,"Wine Bars, Bars, Italian, Nightlife, Restaurants, Tapas/Small Plates",CUeoLt01ax-ANqbIQDjLxw,V6R 1P2
no,True,1,True,3.5,False,"Restaurants, Food Stands, Mexican",eWoyUHGA44U6jCdXDhRfIQ,V6B
no,True,1,True,3.0,True,"Japanese, Restaurants",w_ryneVW_AmZokVtaGEbpg,V6J 1X6
free,True,2,True,3.5,True,"Restaurants, Indian",RFWQdbhMfDZlDDthuYI20A,V3V 4B4
no,True,2,True,4.0,False,"Indian, Pakistani, Middle Eastern, Restaurants",JigVm7F5xCzBBTmU4LFaDA,V5P 3X5
free,True,1,True,4.0,True,"Pizza, Food Delivery Services, Italian, Food, Restaurants",ZT_PSXXxqy8FQant8zaDRw,V6B
no,True,2,True,3.5,False,"Chinese, Seafood, Restaurants",k7TgLsIoMU0x8O8WVFi0CQ,V6Y 3Z8
no,True,1,True,3.0,True,"American (Traditional), Food, Restaurants, Food Delivery Services, Chicken Wings, Chicken Shop, Fast Food",Jp0N1S1WcHGdxHrpWkNPYw,V5P 2V9
no,True,1,True,4.5,False,"Food, Food Trucks, Restaurants, Filipino",PwJ2At9tAVrlrM-es9KBtw,V5Y 1M8
no,True,2,True,3.5,False,"Japanese, Restaurants, Sushi Bars, Asian Fusion",4jM6Mvylg6eKUCh6HOdlKg,V6E 1N1
free,True,2,True,4.0,False,"Japanese, Sushi Bars, Restaurants",G3jAGk0OUS_hkrsD4ERevA,V5B 0A2
free,True,2,True,2.5,False,"Diners, Restaurants, American (Traditional), Breakfast & Brunch",e1h0S98Okp4vAeSctP3Fkg,V4C 6R2
no,True,1,True,3.5,True,"Fast Food, Japanese, Restaurants, Breakfast & Brunch",741SMgw6IZUEuQOCqzcSfg,V6B 2B2
free,True,1,True,3.5,True,"Food, Bubble Tea, Taiwanese, Restaurants, Coffee & Tea, Tea Rooms",AJ7POJg-otBUQvABCzaNlw,V6X 0J8
free,True,2,True,4.5,True,"Restaurants, Thai",Yns2eROqk-f4BUL8YiuBAA,V3B 5Y9
no,True,2,True,4.0,True,"Taiwanese, Chinese, Noodles, Restaurants",PBCwx3CnayS1nvTIEOlVWA,V5J 1C4
free,True,2,True,3.0,True,"Noodles, Restaurants, Chinese, Food, Taiwanese",FPP0VvrPrV8RrF6Yye31ig,V6S 0C8
free,True,1,True,3.0,True,"Bubble Tea, Food, Restaurants, Taiwanese, Coffee & Tea",rfERUVK8m18PfClMgJyVeg,V3T 2W6
no,True,2,True,3.5,True,"French, Creperies, Restaurants",nABEUlemaBQArsVFLz_lsg,V6E 3N6
